t,A,B,C,D,E,F,G
1.205,0.196177812,0.123863373,0.005715328,0.162285472,-0.000132732,0.263427201,0.478082237
1.21,0.197812741,0.123086257,0.008508273,0.16054304,0.001293074,0.263304456,0.476756395
1.215,0.197516653,0.122211365,0.010859623,0.160554913,0.004565371,0.262811901,0.475422541
1.22,0.196159837,0.121169889,0.012665872,0.161492755,0.008389839,0.262832253,0.474070583
1.225,0.194745959,0.119875311,0.01387195,0.162343749,0.01133367,0.264246102,0.472693395
1.23,0.193691112,0.118363939,0.01454324,0.162627924,0.012944796,0.266194444,0.471343371
1.235,0.19274364,0.116811667,0.014882015,0.162470862,0.013885723,0.265841294,0.470140544
1.24,0.191630687,0.115394302,0.01509918,0.16201437,0.014833592,0.260644483,0.469193155
1.245,0.19027136,0.114189583,0.015421273,0.161187708,0.015879046,0.253202296,0.468411278
1.25,0.188717692,0.113207346,0.016085654,0.159772955,0.016706608,0.249672536,0.467567768
1.255,0.187020359,0.112429084,0.017265588,0.157630396,0.017046883,0.255038255,0.466469985
1.26,0.185202977,0.11165456,0.018701162,0.155166917,0.016995631,0.265889932,0.46517624
1.265,0.183277989,0.110608521,0.019953656,0.153015029,0.016799341,0.275353742,0.46384843
1.27,0.181402504,0.109129015,0.020670489,0.151765081,0.016657138,0.278401194,0.462612454
1.275,0.180281562,0.107484018,0.020827396,0.151845077,0.016586989,0.277032785,0.461456675
1.28,0.180746167,0.106042632,0.0204783,0.153641783,0.016564064,0.274905678,0.460336992
1.285,0.182910017,0.105053995,0.019771404,0.156998251,0.016577874,0.274356687,0.459226265
1.29,0.185319057,0.104505051,0.019060974,0.160569176,0.016649277,0.274836871,0.458134417
1.295,0.186342018,0.104347482,0.018720345,0.162885023,0.016802634,0.275426891,0.4570779
1.3,0.185536505,0.10450856,0.018798924,0.163778193,0.017036995,0.275640857,0.456137891
1.305,0.184018979,0.104883553,0.018921382,0.16478819,0.017318219,0.275561222,0.45548043
1.31,0.182945386,0.10537022,0.018726234,0.167448309,0.017619706,0.275315567,0.455263576
1.315,0.182422664,0.105940232,0.018527886,0.171359116,0.018070058,0.275136261,0.455427605
1.32,0.181718969,0.106624355,0.019181181,0.174575764,0.018921977,0.275339467,0.455738659
1.325,0.180178183,0.107436778,0.021366942,0.175371279,0.020389946,0.276105986,0.45598207
1.33,0.177940029,0.108245368,0.024248432,0.174113603,0.022353941,0.276511766,0.456136231
1.335,0.175527064,0.108847615,0.026258904,0.172178421,0.024533028,0.275101272,0.456272407
1.34,0.173380046,0.109109073,0.02632073,0.170714193,0.02664224,0.274374681,0.456444469
1.345,0.171564013,0.109200899,0.025558585,0.169827244,0.028383217,0.273616116,0.456626077
1.35,0.170039265,0.109379185,0.02570883,0.169333331,0.029454277,0.272761886,0.456768602
1.355,0.168752441,0.109800647,0.027624922,0.168991863,0.02973043,0.271831065,0.456850655
1.36,0.167615374,0.110368584,0.029908793,0.168418581,0.029537255,0.270842729,0.45692031
1.365,0.166536133,0.110947623,0.030830279,0.167214292,0.029268443,0.269815954,0.457035768
1.37,0.165519077,0.111466506,0.029878167,0.165410728,0.029166861,0.268769814,0.457210706
1.375,0.16471443,0.111951112,0.028387844,0.163692436,0.029246898,0.267723385,0.45739136
1.38,0.164272098,0.112434582,0.027787901,0.162763277,0.029494583,0.266695743,0.457521088
1.385,0.164092728,0.112933433,0.028293945,0.162626062,0.029710055,0.265705962,0.457598104
1.39,0.163847085,0.113448849,0.029002878,0.162637047,0.029522007,0.264773119,0.457671212
1.395,0.163235819,0.113971178,0.029085556,0.162190449,0.028674523,0.263916287,0.457786987
1.4,0.162330167,0.114391949,0.028828005,0.161278978,0.02808461,0.263154543,0.457952316
1.405,0.161408415,0.114547482,0.029139293,0.160229724,0.029324588,0.262506962,0.458151908
1.41,0.160702698,0.114384315,0.029441152,0.159324647,0.03346447,0.261045885,0.458365602
1.415,0.160190544,0.114431855,0.029727914,0.15858915,0.038894815,0.261263615,0.458548875
1.42,0.159766062,0.115410129,0.030059793,0.157964583,0.043129031,0.261760458,0.458649278
1.425,0.159304835,0.117593303,0.030427573,0.157379966,0.044550604,0.26141517,0.458689655
1.43,0.15862728,0.119923713,0.030822037,0.156727647,0.044142866,0.260598984,0.458917709
1.435,0.157546362,0.121105624,0.031233966,0.155894686,0.04336532,0.259956375,0.459620498
1.44,0.156115623,0.120655516,0.031654145,0.154899292,0.043073996,0.259776308,0.460875731
1.445,0.154810559,0.119514421,0.032073356,0.153989704,0.043066475,0.259724212,0.462393931
1.45,0.154130774,0.118749393,0.032482382,0.153428269,0.043042747,0.259412385,0.463855921
1.455,0.154096807,0.11895982,0.032872005,0.153241126,0.042948302,0.258710078,0.465134632
1.46,0.154219802,0.120247821,0.033233008,0.153203251,0.042989676,0.257759766,0.466307273
1.465,0.154033254,0.122615051,0.033556174,0.153098723,0.043341127,0.256719223,0.46745731
1.47,0.153619539,0.125171785,0.033832287,0.152959933,0.043652585,0.255770316,0.468625768
1.475,0.153416197,0.126451508,0.034052128,0.152979943,0.043234698,0.255110504,0.469826205
1.48,0.153784897,0.125314022,0.034303238,0.153325246,0.041546837,0.254817813,0.471067937
1.485,0.154578328,0.122708841,0.033576458,0.153980326,0.039008746,0.254225863,0.472336761
1.49,0.155453826,0.120387537,0.03241904,0.154859802,0.036408776,0.252382577,0.473609447
1.495,0.156159625,0.119604686,0.031325547,0.155892325,0.034370104,0.248706908,0.474906516
1.5,0.156764338,0.119865098,0.030179789,0.157056289,0.032933629,0.243921837,0.476402072
